Topic,Date,Score,Comments
The Gordon Riots,2 May 2019,,
Nero,25 April 2019,,
A Midsummer Night's Dream,18 April 2019,,
The Evolution of Teeth,11 April 2019,,
The Great Irish Famine,4 April 2019,,
The Danelaw,28 March 2019,,
Gerard Manley Hopkins,21 March 2019,,
Authenticity,14 March 2019,,
William Cecil,7 March 2019,,
Antarah ibn Shaddad,28 February 2019,,
Pheromones,21 February 2019,,
Judith beheading Holofernes,14 February 2019,,
Aristotle's biology,7 February 2019,,
Owain Glyndŵr,31 January 2019,,
Emmy Noether,24 January 2019,,
Samuel Beckett,17 January 2019,,
Papal Infallibility,10 January 2019,,
Venus,27 December 2018,,
The Poor Laws,20 December 2018,,
Sir Gawain and the Green Knight,13 December 2018,,
The Thirty Years War,6 December 2018,,
The Long March,29 November 2018,,
Hope,22 November 2018,,
Horace,15 November 2018,,
Marie Antoinette,8 November 2018,,
Free Radicals,1 November 2018,,
The Fable of the Bees,25 October 2018,,
Is Shakespeare History? The Romans,18 October 2018,,
Is Shakespeare History? The Plantagenets,11 October 2018,,
Edith Wharton,4 October 2018,,
Dietrich Bonhoeffer,27 September 2018,,
Automata,20 September 2018,,
The Iliad,13 September 2018,,
William Morris,5 July 2018,,
The Mexican-American War,28 June 2018,,
Echolocation,21 June 2018,,
Montesquieu,14 June 2018,,
Persepolis,7 June 2018,,
Henrik Ibsen,31 May 2018,,
Margaret of Anjou,25 May 2018,,
The Emancipation of the Serfs,17 May 2018,,
The Mabinogion,10 May 2018,,
The Almoravid Empire,3 May 2018,,
The Proton,26 April 2018,,
Middlemarch,18 April 2018,,
George and Robert Stephenson,11 April 2018,,
Roman Slavery,5 April 2018,,
Tocqueville: Democracy in America,22 March 2018,,
Augustine's Confessions,15 March 2018,,
The Highland Clearances,8 March 2018,,
Sun Tzu and The Art of War,1 March 2018,,
Rosalind Franklin,22 February 2018,,
Fungi,15 February 2018,,
Frederick Douglass,9 February 2018,,
Cephalopods,1 February 2018,,
Cicero,25 January 2018,,
Anna Akhmatova,18 January 2018,,
"The Siege of Malta, 1565",11 January 2018,,
Hamlet,28 December 2017,,
Ludwig van Beethoven,21 December 2017,,
Thomas Becket,14 December 2017,,
Moby Dick,7 December 2017,,
Carl Friedrich Gauss,30 November 2017,,
Thebes,23 November 2017,,
Germaine de Staël,16 November 2017,,
The Picts,9 November 2017,,
Picasso's Guernica,2 November 2017,,
Feathered dinosaurs,26 October 2017,,
The Congress of Vienna,19 October 2017,,
Aphra Behn,12 October 2017,,
Constantine the Great,5 October 2017,,
Wuthering Heights,28 September 2017,,
Kant's Categorical Imperative,21 September 2017,,
Bird migration,6 July 2017,,
Plato's Republic,29 June 2017,,
Eugene Onegin,22 June 2017,,
The American Populists,15 June 2017,,
Christine de Pizan,8 June 2017,,
Enzymes,1 June 2017,,
Purgatory,25 May 2017,,
Louis Pasteur,18 May 2017,,
Emily Dickinson,11 May 2017,,
The Battle of Lincoln 1217,4 May 2017,,
The Egyptian Book of the Dead,27 April 2017,,
Roger Bacon,20 April 2017,,
Rosa Luxemburg,13 April 2017,,
Pauli's exclusion principle,6 April 2017,,
Hokusai,30 March 2017,,
The Battle of Salamis,23 March 2017,,
The Paleocene-Eocene Thermal Maximum,16 March 2017,,
North and South,9 March 2017,,
The Kuiper belt,2 March 2017,,
Seneca the Younger,23 February 2017,,
Maths in the Early Islamic World,16 February 2017,,
John Clare,9 February 2017,,
Hannah Arendt,2 February 2017,,
Parasitism,26 January 2017,,
"Mary, Queen of Scots",19 January 2017,,
Nietzsche's Genealogy of Morality,12 January 2017,,
Johannes Kepler,29 December 2016,,
Four Quartets,21 December 2016,,
The Gin Craze,15 December 2016,,
Harriet Martineau,8 December 2016,,
Garibaldi and the Risorgimento,1 December 2016,,
Baltic Crusades,24 November 2016,,
Justinian's Legal Code,17 November 2016,,
The Fighting Temeraire,10 November 2016,,
Epic of Gilgamesh,3 November 2016,,
John Dalton,27 October 2016,,
The 12th Century Renaissance,20 October 2016,,
Plasma,13 October 2016,,
Lakshmi,6 October 2016,,
Animal Farm,29 September 2016,,
Zeno's paradoxes,22 September 2016,,
The Invention of Photography,7 July 2016,,
Sovereignty,30 June 2016,,
Songs of Innocence and of Experience,23 June 2016,,
The Bronze Age Collapse,16 June 2016,,
Penicillin,9 June 2016,,
Margery Kempe and English Mysticism,2 June 2016,,
The Gettysburg Address,26 May 2016,,
The Muses,19 May 2016,,
Titus Oates and his 'Popish Plot',12 May 2016,,
Tess of the d'Urbervilles,5 May 2016,,
Euclid's Elements,28 April 2016,,
"1816, the Year Without a Summer",21 April 2016,,
The Neutron,14 April 2016,,
The Sikh Empire,7 April 2016,,
Agrippina the Younger,31 March 2016,,
Aurora Leigh,24 March 2016,,
Bedlam,17 March 2016,,
The Maya Civilization,10 March 2016,,
The Dutch East India Company,3 March 2016,,
Mary Magdalene,25 February 2016,,
Robert Hooke,18 February 2016,,
Rumi's Poetry,11 February 2016,,
Chromatography,4 February 2016,,
Eleanor of Aquitaine,28 January 2016,,
Thomas Paine's Common Sense,21 January 2016,,
Saturn,14 January 2016,,
Tristan and Iseult,31 December 2015,,
Michael Faraday,25 December 2015,,
Circadian rhythms,17 December 2015,,
Chinese Legalism,10 December 2015,,
Voyages of James Cook,3 December 2015,,
The Salem Witch Trials,29 November 2015,,
Emma,19 November 2015,,
The Battle of Lepanto,12 November 2015,,
P v NP,5 November 2015,,
The Empire of Mali,29 October 2015,,
Simone de Beauvoir,22 October 2015,,
Holbein at the Tudor Court,15 October 2015,,
Alexander the Great,1 October 2015,,
Perpetual motion,24 September 2015,,
Frida Kahlo,9 July 2015,,
Frederick the Great,2 July 2015,,
Extremophiles,25 June 2015,,
Jane Eyre,18 June 2015,,
Utilitarianism,11 June 2015,,
Prester John,4 June 2015,,
The Science of Glass,28 May 2015,,
Josephus,21 May 2015,,
The Lancashire Cotton Famine,14 May 2015,,
Rabindranath Tagore,7 May 2015,,
The Earth's core,30 April 2015,,
Fanny Burney,23 April 2015,,
Matteo Ricci and the Ming dynasty,16 April 2015,,
Sappho,9 April 2015,,
The California Gold Rush,2 April 2015,,
The Curies,26 March 2015,,
Al-Ghazali,19 March 2015,,
Dark matter,12 March 2015,,
Beowulf,5 March 2015,,
The Eunuch,26 February 2015,,
The Wealth of Nations,19 February 2015,,
The Photon,12 February 2015,,
Ashoka the Great,5 February 2015,,
Thucydides,29 January 2015,,
Phenomenology,22 January 2015,,
Bruegel's The Fight Between Carnival and Lent,15 January 2015,,
Truth,18 December 2014,,
Behavioural ecology,11 December 2014,,
Zen,4 December 2014,,
Kafka's The Trial,27 November 2014,,
Aesop,20 November 2014,,
Brunel,13 November 2014,,
Hatshepsut,6 November 2014,,
Nuclear Fusion,30 October 2014,,
The Haitian Revolution,23 October 2014,,
Rudyard Kipling,16 October 2014,,
The Battle of Talas,9 October 2014,,
Julius Caesar,2 October 2014,,
e,25 September 2014,,
The Sun,10 July 2014,,
Mrs Dalloway,3 July 2014,,
Hildegard of Bingen,26 June 2014,,
The Philosophy of Solitude,19 June 2014,,
Robert Boyle,12 June 2014,,
The Bluestockings,5 June 2014,,
The Talmud,29 May 2014,,
The Rubaiyat of Omar Khayyam,22 May 2014,,
Photosynthesis,15 May 2014,,
The Sino-Japanese War,8 May 2014,,
The Tale of Sinuhe,1 May 2014,,
Tristram Shandy,24 April 2014,,
The Domesday Book,17 April 2014,,
Strabo's Geographica,10 April 2014,,
States of Matter,3 April 2014,,
Weber's The Protestant Ethic,27 March 2014,,
Bishop Berkeley,20 March 2014,,
The Trinity,13 March 2014,,
Spartacus,6 March 2014,,
The Eye,27 February 2014,,
Social Darwinism,20 February 2014,,
Chivalry,13 February 2014,,
The Phoenicians,6 February 2014,,
Catastrophism,30 January 2014,,
Sources of Early Chinese History,23 January 2014,,
The Battle of Tours,16 January 2014,,
Plato's Symposium,3 January 2014,,
The Medici,26 December 2013,,
Complexity,19 December 2013,,
Pliny the Younger,12 December 2013,,
Hindu Ideas of Creation,5 December 2013,,
The Microscope,28 November 2013,,
Pocahontas,21 November 2013,,
The Tempest,14 November 2013,,
Ordinary language philosophy,7 November 2013,,
The Berlin Conference,31 October 2013,,
The Corn Laws,24 October 2013,,
The Book of Common Prayer,17 October 2013,,
Galen,10 October 2013,,
Exoplanets,3 October 2013,,
The Mamluks,26 September 2013,,
Pascal,19 September 2013,,
The Invention of Radio,4 July 2013,,
Romance of the Three Kingdoms,27 June 2013,,
The Physiocrats,20 June 2013,,
Prophecy,13 June 2013,,
Relativity,6 June 2013,,
Queen Zenobia,30 May 2013,,
Lévi-Strauss,23 May 2013,,
Cosmic rays,16 May 2013,,
Icelandic Sagas,9 May 2013,,
Gnosticism,2 May 2013,,
Montaigne,25 April 2013,,
The Putney Debates,18 April 2013,,
The Amazons,11 April 2013,,
Japan's Sakoku Period,4 April 2013,,
Water,28 March 2013,,
Alfred Russel Wallace,21 March 2013,,
Chekhov,14 March 2013,,
Absolute Zero,7 March 2013,,
Pitt Rivers,28 February 2013,,
Decline and Fall,21 February 2013,,
Ice ages,14 February 2013,,
Epicureanism,7 February 2013,,
The War of 1812,31 January 2013,,
Romulus and Remus,24 January 2013,,
Comets,17 January 2013,,
Le Morte d'Arthur,10 January 2013,,
The Cult of Mithras,27 December 2012,,
The South Sea Bubble,20 December 2012,,
Shahnameh of Ferdowsi,13 December 2012,,
Bertrand Russell,6 December 2012,,
Crystallography,29 November 2012,,
The Borgias,22 November 2012,,
Simone Weil,15 November 2012,,
The Upanishads,8 November 2012,,
The Anarchy,1 November 2012,,
Fermat's Last Theorem,25 October 2012,,
Caxton and the Printing Press,18 October 2012,,
Hannibal,11 October 2012,,
Gerald of Wales,4 October 2012,,
The Ontological Argument,27 September 2012,,
The Druids,20 September 2012,,
The Cell,13 September 2012,,
Hadrian's Wall,12 July 2012,,
Scepticism,5 July 2012,,
Al-Kindi,28 June 2012,,
Annie Besant,21 June 2012,,
James Joyce's Ulysses,14 June 2012,,
King Solomon,7 June 2012,,
The Trojan War,31 May 2012,,
Marco Polo,24 May 2012,,
Clausewitz and On War,17 May 2012,,
Game Theory,10 May 2012,,
Voltaire's Candide,3 May 2012,,
The Battle of Bosworth Field,26 April 2012,,
Neoplatonism,19 April 2012,,
Early Geology,12 April 2012,,
George Fox and the Quakers,5 April 2012,,
The Measurement of Time,29 March 2012,,
Moses Mendelssohn,22 March 2012,,
Vitruvius and De Architectura,15 March 2012,,
Lyrical Ballads,8 March 2012,,
Benjamin Franklin,1 March 2012,,
Conductors and Semiconductors,23 February 2012,,
The An Lushan Rebellion,16 February 2012,,
Erasmus,9 February 2012,,
The Kama Sutra,2 February 2012,,
The Scientific method,26 January 2012,,
1848: Year of Revolution,19 January 2012,,
The Safavid dynasty,12 January 2012,,
The Written World: Episode 5,6 January 2012,,
The Written World: Episode 4,5 January 2012,,
The Written World: Episode 3,4 January 2012,,
The Written World: Episode 2,3 January 2012,,
The Written World: Episode 1,2 January 2012,,
Macromolecules,29 December 2011,,
Robinson Crusoe,22 December 2011,,
The Concordat of Worms,15 December 2011,,
Heraclitus,8 December 2011,,
Christina Rossetti,1 December 2011,,
Judas Maccabeus,24 November 2011,,
Ptolemy and Ancient Astronomy,17 November 2011,,
The Continental-Analytic Split,10 November 2011,,
The Moon,3 November 2011,,
The Siege of Tenochtitlan,27 October 2011,,
Delacroix's Liberty Leading the People,20 October 2011,,
The Ming Voyages,13 October 2011,,
David Hume,6 October 2011,,
The Etruscan Civilisation,29 September 2011,,
Shinto,22 September 2011,,
The Hippocratic Oath,15 September 2011,,
The Minoan Civilisation,7 July 2011,,
Tennyson's In Memoriam,30 June 2011,,
Malthusianism,23 June 2011,,
Wyclif and the Lollards,16 June 2011,,
The Origins of Infectious Disease,9 June 2011,,
The Battle of Stamford Bridge,2 June 2011,,
Xenophon,26 May 2011,,
Custer's Last Stand,19 May 2011,,
The Anatomy of Melancholy,12 May 2011,,
Islamic Law and its Origins,5 May 2011,,
Cogito Ergo Sum,28 April 2011,,
The Pelagian Controversy,21 April 2011,,
The Neutrino,14 April 2011,,
Octavia Hill,7 April 2011,,
The Bhagavad Gita,31 March 2011,,
The Iron Age,24 March 2011,,
The Medieval University,17 March 2011,,
Free Will(500th programme),10 March 2011,,
The Age of the Universe,3 March 2011,,
The Taiping Rebellion,24 February 2011,,
Maimonides,17 February 2011,,
The Nervous System,10 February 2011,,
The Battle of Bannockburn,3 February 2011,,
Aristotle's Poetics,27 January 2011,,
The Mexican Revolution,20 January 2011,,
Random and Pseudorandom,13 January 2011,,
Childe Harold's Pilgrimage,6 January 2011,,
Consequences of the Industrial Revolution,30 December 2010,,
The Industrial Revolution,23 December 2010,,
Daoism,16 December 2010,,
Thomas Edison,9 December 2010,,
Cleopatra,2 December 2010,,
History of Metaphor,25 November 2010,,
Foxe's Book of Martyrs,18 November 2010,,
The Volga Vikings,11 November 2010,,
Women and Enlightenment Science,4 November 2010,,
The Unicorn,28 October 2010,,
Logic,21 October 2010,,
Sturm und Drang,14 October 2010,,
The Spanish Armada,7 October 2010,,
The Delphic Oracle,30 September 2010,,
Imaginary numbers,23 September 2010,,
Pliny's Natural History,8 July 2010,,
Athelstan,1 July 2010,,
Antarctica,24 June 2010,,
The Neanderthals,17 June 2010,,
Al-Biruni,10 June 2010,,
Edmund Burke,3 June 2010,,
Giorgio Vasari's Lives of the Artists,27 May 2010,,
The Cavendish Family in Science,20 May 2010,,
William James's The Varieties of Religious Experience,13 May 2010,,
The Cool Universe,6 May 2010,,
The Great Wall of China,29 April 2010,,
Roman Satire,22 April 2010,,
The Rise and Fall of the Zulu Nation,15 April 2010,,
William Hazlitt,8 April 2010,,
"The City - a history, part 2",1 April 2010,,
"The City - a history, part 1",25 March 2010,,
Munch and The Scream,18 March 2010,,
Boudica,11 March 2010,,
The Infant Brain,4 March 2010,,
Calvinism,25 February 2010,,
The Indian Mutiny,18 February 2010,,
The Unintended Consequences of Mathematics,11 February 2010,,
Ibn Khaldun,4 February 2010,,
Silas Marner,28 January 2010,,
The Glencoe Massacre,21 January 2010,,
The Frankfurt School,14 January 2010,,
The Royal Society and British Science: Episode 4,7 January 2010,,
The Royal Society and British Science: Episode 3,6 January 2010,,
The Royal Society and British Science: Episode 2,5 January 2010,,
The Royal Society and British Science: Episode 1,4 January 2010,,
Mary Wollstonecraft,31 December 2009,,
The Samurai,24 December 2009,,
Pythagoras,10 December 2009,,
The Silk Road,3 December 2009,,
Joyce's A Portrait of the Artist as a Young Man,26 November 2009,,
Sparta,19 November 2009,,
Radiation,12 November 2009,,
The Siege of Munster,5 November 2009,,
Schopenhauer,29 October 2009,,
The Geological Formation of Britain,22 October 2009,,
The Death of Elizabeth I,15 October 2009,,
The Dreyfus Affair,8 October 2009,,
Akhenaten,1 October 2009,,
Calculus,24 September 2009,,
St Thomas Aquinas,17 September 2009,,
Ediacara Biota,9 July 2009,,
Logical Positivism,2 July 2009,,
Sunni and Shia Islam,25 June 2009,,
Elizabethan Revenge,18 June 2009,,
The Augustan Age,11 June 2009,,
The Trial of Charles I,4 June 2009,,
St Paul,28 May 2009,,
The Whale - A History,21 May 2009,,
The Siege of Vienna,14 May 2009,,
The Magna Carta,7 May 2009,,
The Vacuum of Space,30 April 2009,,
The Building of St Petersburg,23 April 2009,,
Suffragism,16 April 2009,,
Aldous Huxley's Brave New World,9 April 2009,,
Baconian Science,2 April 2009,,
The School of Athens,26 March 2009,,
The Boxer Rebellion,19 March 2009,,
The Library of Alexandria,12 March 2009,,
The Measurement problem in Physics,5 March 2009,,
The Waste Land and Modernity,26 February 2009,,
The Observatory at Jaipur,19 February 2009,,
Carthage's Destruction,12 February 2009,,
The Brothers Grimm,5 February 2009,,
Swift's A Modest Proposal,29 January 2009,,
History of History,22 January 2009,,
Thoreau and the American Idyll,15 January 2009,,
Darwin: Life After Origins,8 January 2009,,
Darwin: On the Origin of Species,7 January 2009,,
Darwin: The Voyage of the Beagle,6 January 2009,,
Darwin: On the Origins of Charles Darwin,5 January 2009,,
The Consolations of Philosophy,1 January 2009,,
The Physics of Time,18 December 2008,,
The Fire of London,11 December 2008,,
Heat,4 December 2008,,
The Great Reform Act,27 November 2008,,
The Baroque Movement,20 November 2008,,
Neuroscience,13 November 2008,,
Aristotle's Politics,6 November 2008,,
Bolivar,30 October 2008,,
Dante's Inferno,23 October 2008,,
Vitalism,16 October 2008,,
Gödel's Incompleteness Theorems,9 October 2008,,
The Translation Movement,2 October 2008,,
Miracles,25 September 2008,,
Tacitus and the Decadence of Rome,10 July 2008,,
The Metaphysical Poets,3 July 2008,,
The Arab Conquests,26 June 2008,,
The Music of the Spheres,19 June 2008,,
The Riddle of the Sands,12 June 2008,,
Lysenkoism,5 June 2008,,
Probability,29 May 2008,,
The Black Death,22 May 2008,,
The Library at Nineveh,15 May 2008,,
The Brain,8 May 2008,,
The Enclosures of the 18th Century,1 May 2008,,
Materialism,24 April 2008,,
Yeats and Irish Politics,17 April 2008,,
The Norman Yoke,10 April 2008,,
The Laws of Motion,3 April 2008,,
The Dissolution of the Monasteries,27 March 2008,,
Kierkegaard,20 March 2008,,
The Greek Myths,13 March 2008,,
Ada Lovelace,6 March 2008,,
Lear,28 February 2008,,
The Multiverse,21 February 2008,,
The Statue of Liberty,14 February 2008,,
The Social Contract,7 February 2008,,
Rudolph II,31 January 2008,,
Plate Tectonics,24 January 2008,,
The Fisher King,17 January 2008,,
The Charge of the Light Brigade,10 January 2008,,
Camus,3 January 2008,,
The Nicene Creed,27 December 2007,,
The Four Humours,20 December 2007,,
The Sassanid Empire,13 December 2007,,
Genetic Mutation,6 December 2007,,
The Fibonacci Sequence,29 November 2007,,
The Prelude,22 November 2007,,
Oxygen,15 November 2007,,
Avicenna,8 November 2007,,
Guilt,1 November 2007,,
Taste,25 October 2007,,
The Arabian Nights,18 October 2007,,
The Divine Right of Kings,11 October 2007,,
Antimatter,4 October 2007,,
Socrates,27 September 2007,,
Madame Bovary,12 July 2007,,
The Pilgrim Fathers,5 July 2007,,
The Permian-Triassic Boundary,28 June 2007,,
Common Sense Philosophy,21 June 2007,,
Renaissance Astrology,14 June 2007,,
Siegfried Sassoon,7 June 2007,,
Ockham's Razor,31 May 2007,,
The Siege of Orléans,24 May 2007,,
Gravitational Waves,17 May 2007,,
Victorian Pessimism,10 May 2007,,
Spinoza,3 May 2007,,
Greek and Roman Love Poetry,26 April 2007,,
Symmetry,19 April 2007,,
The Opium Wars,12 April 2007,,
St Hilda,5 April 2007,,
Anaesthetics,29 March 2007,,
Bismarck,22 March 2007,,
Epistolary Literature,15 March 2007,,
Microbiology,8 March 2007,,
Optics,1 March 2007,,
Wilberforce,22 February 2007,,
Heart of Darkness,15 February 2007,,
Popper,8 February 2007,,
Genghis Khan,1 February 2007,,
Archimedes,25 January 2007,,
The Jesuits,18 January 2007,,
Mars,11 January 2007,,
Jorge Luis Borges,4 January 2007,,
Constantinople Siege and Fall,28 December 2006,,
Hell,21 December 2006,,
Indian Mathematics,14 December 2006,,
Anarchism,7 December 2006,,
The Speed of Light,30 November 2006,,
Altruism,23 November 2006,,
The Peasants' Revolt,16 November 2006,,
Pope,9 November 2006,,
The Poincaré conjecture,2 November 2006,,
The Encyclopédie,26 October 2006,,
The Needham Question,19 October 2006,,
The Diet of Worms,12 October 2006,,
Averroes,5 October 2006,,
Humboldt,28 September 2006,,
Comedy in Ancient Greek Theatre,13 July 2006,,
Pastoral Literature,6 July 2006,,
Galaxies,29 June 2006,,
The Spanish Inquisition,22 June 2006,,
Carbon,15 June 2006,,
Uncle Tom's Cabin,8 June 2006,,
The Heart,1 June 2006,,
Mathematics and Music,25 May 2006,,
Mill,18 May 2006,,
Fairies,11 May 2006,,
Astronomy and Empire,4 May 2006,,
The Great Exhibition of 1851,27 April 2006,,
Immunisation,20 April 2006,,
The Oxford Movement,13 April 2006,,
Goethe,6 April 2006,,
The Carolingian Renaissance,30 March 2006,,
The Royal Society,23 March 2006,,
Don Quixote,16 March 2006,,
Negative numbers,9 March 2006,,
Friendship,2 March 2006,,
Catherine the Great,23 February 2006,,
Human Evolution,16 February 2006,,
Chaucer,9 February 2006,,
The Abbasid Caliphs,2 February 2006,,
Seventeenth Century Print Culture,26 January 2006,,
Relativism,19 January 2006,,
Prime Numbers,12 January 2006,,
The Oath,5 January 2006,,
The Oresteia,29 December 2005,,
Heaven,22 December 2005,,
The Peterloo Massacre,15 December 2005,,
Artificial Intelligence,8 December 2005,,
Hobbes,1 December 2005,,
The Graviton,24 November 2005,,
Pragmatism,17 November 2005,,
Greyfriars and Blackfriars,10 November 2005,,
Asteroids,3 November 2005,,
Johnson,27 October 2005,,
Cynicism,20 October 2005,,
